arrival_time,runtime,gpus,priority
3857380.0,450.0,4,2.5
3857381.0,492.0,0,0.5
3857394.0,416.0,1,0.5
3857496.0,395.0,1,0.5
3857502.0,1177.0,1,0.5
3857549.0,1756.0,1,0.5
3857657.0,2127.0,1,0.5
3857678.0,4607.0,2,1.0
3857723.0,6154.0,1,0.5
3857725.0,1710.0,1,0.5
3857799.0,1054.0,1,0.5
3857866.0,598.0,1,0.5
3857873.0,2921.0,2,1.0
3857874.0,1163.0,0,0.5
3857893.0,390.0,1,0.5
3857900.0,964.0,1,0.5
3857907.0,652.0,1,0.5
3857947.0,626.0,2,1.0
3857958.0,2201.0,1,0.5
3857964.0,3959.0,1,0.5
3858090.0,1921.0,1,0.5
3858109.0,441.0,1,0.5
3858176.0,406.0,1,0.5
3858230.0,18863.0,8,5.0
3858267.0,3514.0,1,0.5
3858292.0,409.0,1,0.5
3858334.0,554.0,4,2.5
3858369.0,4690.0,1,0.5
3858386.0,116013.0,8,5.0
3858411.0,392.0,1,0.5
3858413.0,766.0,1,0.5
3858460.0,4084.0,1,0.5
3858465.0,1824.0,1,0.5
3858507.0,382.0,1,0.5
3858552.0,4866.0,1,0.5
3858567.0,1217.0,1,0.5
3858574.0,573.0,2,1.0
3858617.0,2216.0,1,0.5
3858639.0,823.0,4,2.5
3858651.0,1976647.0,1,0.5
3858680.0,1036.0,1,0.5
3858703.0,603.0,1,0.5
3858763.0,413.0,1,0.5
3858843.0,3274.0,1,0.5
3858845.0,2640.0,1,0.5
3858854.0,2728.0,1,0.5
3858865.0,1034.0,1,0.5
3859038.0,779.0,0,0.5
3859081.0,426.0,1,0.5
3859116.0,452.0,1,0.5
3859134.0,2869.0,1,0.5
3859148.0,619.0,2,1.0
3859176.0,7008.0,1,0.5
3859178.0,600.0,1,0.5
3859178.0,489.0,1,0.5
3859214.0,30017.0,2,1.0
3859214.0,30016.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,2,1.0
3859214.0,30017.0,1,0.5
3859214.0,30016.0,1,0.5
3859214.0,30016.0,2,1.0
3859214.0,30018.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,33767.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30016.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30017.0,1,0.5
3859214.0,30018.0,1,0.5
3859214.0,28785.0,1,0.5
3859214.0,30018.0,1,0.5
3859214.0,28785.0,1,0.5
3859214.0,32427.0,1,0.5
3859214.0,30018.0,1,0.5
3859215.0,30015.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30015.0,1,0.5
3859215.0,30016.0,4,2.5
3859215.0,30016.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30017.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30015.0,1,0.5
3859215.0,33771.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30016.0,2,1.0
3859215.0,30015.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,30015.0,1,0.5
3859215.0,30016.0,1,0.5
3859215.0,33769.0,1,0.5
3859215.0,30016.0,1,0.5
3859274.0,33715.0,2,1.0
3859275.0,29955.0,1,0.5
3859275.0,33712.0,1,0.5
3859276.0,29955.0,1,0.5
3859276.0,29955.0,1,0.5
3859315.0,593.0,1,0.5
3859315.0,2264.0,1,0.5
3859368.0,469.0,1,0.5
3859400.0,368.0,1,0.5
3859436.0,1995.0,1,0.5
3859577.0,1938.0,2,1.0
3859676.0,464.0,4,2.5
3859717.0,1269.0,1,0.5
3859720.0,1211.0,1,0.5
3859744.0,28255.0,1,0.5
3859767.0,649.0,2,1.0
3859792.0,3128.0,1,0.5
3859792.0,1845.0,1,0.5
3859819.0,232.0,0,0.5
3859868.0,4009.0,2,1.0
3859902.0,460097.0,1,0.5
3859908.0,1452.0,1,0.5
3859916.0,243.0,1,0.5
3860012.0,1189.0,1,0.5
3860013.0,3865.0,1,0.5
3860031.0,1694.0,1,0.5
3860053.0,539.0,0,0.5
3860098.0,113.0,1,0.5
3860166.0,165.0,1,0.5
3860168.0,3709.0,1,0.5
3860186.0,675.0,1,0.5
3860285.0,31031.0,1,0.5
3860290.0,1716.0,1,0.5
3860319.0,3556.0,1,0.5
3860360.0,487.0,4,2.5
3860418.0,622.0,2,1.0
3860432.0,64.0,1,0.5
3860458.0,1346.0,8,5.0
3860587.0,553.0,4,2.5
3860594.0,653.0,0,0.5
3860595.0,1175.0,4,2.5
3860599.0,3279.0,4,2.5
3860608.0,2334.0,4,2.5
3860718.0,24358.0,2,1.0
3860809.0,495.0,1,0.5
3860812.0,3202242.0,1,0.5
3860846.0,2836.0,1,0.5
3860856.0,24219.0,2,1.0
3860862.0,214.0,1,0.5
