arrival_time,runtime,gpus,priority
10251704.0,264045.0,8,5.0
10251758.0,69597.0,8,5.0
10252266.0,297395.0,8,5.0
10252693.0,1710043.0,8,5.0
10252744.0,168207.0,8,5.0
10253191.0,12545.0,8,5.0
10253212.0,17008.0,8,5.0
10253850.0,14576.0,8,5.0
10254344.0,68254.0,8,5.0
10254462.0,9769.0,8,5.0
10254904.0,11167.0,8,5.0
10255120.0,12492.0,8,5.0
10255255.0,32045.0,8,5.0
10255644.0,280592.0,8,5.0
10256177.0,159033.0,8,5.0
10256250.0,108150.0,8,5.0
10256576.0,36400.0,8,5.0
10256936.0,331239.0,8,5.0
10258814.0,234468.0,8,5.0
10258985.0,97562.0,8,5.0
10259411.0,21802.0,8,5.0
10259675.0,222858.0,8,5.0
10259917.0,12600.0,8,5.0
10259971.0,22066.0,8,5.0
10260033.0,37728.0,8,5.0
10260328.0,19256.0,8,5.0
10260531.0,43793.0,8,5.0
10260579.0,29949.0,8,5.0
10260636.0,25054.0,8,5.0
10260822.0,178335.0,8,5.0
10260864.0,62584.0,8,5.0
10260999.0,43841.0,8,5.0
10261982.0,21454.0,8,5.0
10262415.0,65260.0,8,5.0
10262618.0,32276.0,8,5.0
10262631.0,29071.0,8,5.0
10263865.0,241961.0,8,5.0
10264959.0,149598.0,8,5.0
10265663.0,54942.0,8,5.0
10266882.0,65342.0,8,5.0
10267745.0,79090.0,8,5.0
10267799.0,197934.0,8,5.0
10267859.0,276550.0,8,5.0
10270186.0,25112.0,8,5.0
10271133.0,69766.0,8,5.0
10272235.0,318425.0,8,5.0
10272270.0,22510.0,8,5.0
10272328.0,57491.0,8,5.0
10272797.0,53854.0,8,5.0
10272982.0,54848.0,8,5.0
10274562.0,320450.0,8,5.0
10275007.0,330582.0,8,5.0
10275159.0,11253.0,8,5.0
10275627.0,47512.0,8,5.0
10275673.0,138305.0,8,5.0
10275676.0,43409.0,8,5.0
10276247.0,11206.0,8,5.0
10277091.0,37217.0,8,5.0
10277822.0,30308.0,8,5.0
10277827.0,24783.0,8,5.0
10278605.0,28634.0,8,5.0
10278634.0,39610.0,8,5.0
10278769.0,120626.0,8,5.0
10279182.0,11560.0,8,5.0
10279236.0,21935.0,8,5.0
10281449.0,11429.0,8,5.0
10281803.0,10415.0,8,5.0
10282261.0,300947.0,8,5.0
10286166.0,23931.0,8,5.0
10287399.0,11771.0,8,5.0
10287419.0,12761.0,8,5.0
10289724.0,31620.0,8,5.0
10291105.0,28850.0,8,5.0
10293139.0,13816.0,8,5.0
10293424.0,239566.0,8,5.0
10293445.0,11353.0,8,5.0
10293823.0,108079.0,8,5.0
10294399.0,23224.0,8,5.0
10298863.0,215882.0,8,5.0
10300730.0,92611.0,8,5.0
10305420.0,184190.0,8,5.0
10314762.0,11847.0,8,5.0
10314802.0,9148.0,8,5.0
10315142.0,210562.0,8,5.0
10315953.0,32103.0,8,5.0
10316067.0,31842.0,8,5.0
10316200.0,30136.0,8,5.0
10316577.0,13079.0,8,5.0
10319190.0,28105.0,8,5.0
10320846.0,205704.0,8,5.0
10321038.0,9511.0,8,5.0
10321125.0,13203.0,8,5.0
10321463.0,50966.0,8,5.0
10321523.0,192162.0,8,5.0
10321543.0,152220.0,8,5.0
10323144.0,119426.0,8,5.0
10323373.0,21964.0,8,5.0
10323484.0,78690.0,8,5.0
10323570.0,21885.0,8,5.0
10323591.0,16103.0,8,5.0
10323789.0,25448.0,8,5.0
10324747.0,22346.0,8,5.0
10325350.0,78283.0,8,5.0
10325507.0,41995.0,8,5.0
10325726.0,78469.0,8,5.0
10325879.0,26405.0,8,5.0
10326001.0,11086.0,8,5.0
10326363.0,107837.0,8,5.0
10327212.0,77825.0,8,5.0
10327308.0,23603.0,8,5.0
10327316.0,143601.0,8,5.0
10328045.0,196405.0,8,5.0
10331494.0,75645.0,8,5.0
10331764.0,168789.0,8,5.0
10332100.0,456918.0,8,5.0
10332249.0,20586.0,8,5.0
10332257.0,20457.0,8,5.0
10332575.0,257223.0,8,5.0
10332958.0,34548.0,8,5.0
10334045.0,249724.0,8,5.0
10334226.0,27010.0,8,5.0
10334410.0,11082.0,8,5.0
10334470.0,90306.0,8,5.0
10335107.0,11939.0,8,5.0
10335115.0,11740.0,8,5.0
10335700.0,106177.0,8,5.0
10336033.0,105839.0,8,5.0
10336128.0,22697.0,8,5.0
10336164.0,9053.0,8,5.0
10336589.0,22606.0,8,5.0
10337562.0,15280.0,8,5.0
10338020.0,11670.0,8,5.0
10338024.0,20619.0,8,5.0
10338800.0,870708.0,8,5.0
10340322.0,146952.0,8,5.0
10340499.0,237610.0,8,5.0
10340906.0,91618.0,8,5.0
10340958.0,13922.0,8,5.0
10341247.0,238990.0,8,5.0
10341363.0,170684.0,8,5.0
10341911.0,28197.0,8,5.0
10341999.0,42141.0,8,5.0
10343462.0,28392.0,8,5.0
10344285.0,14358.0,8,5.0
10345350.0,253919.0,8,5.0
10345395.0,20496.0,8,5.0
10346495.0,75971.0,8,5.0
10348661.0,194966.0,8,5.0
10348876.0,14425.0,8,5.0
10353275.0,93520.0,8,5.0
10353295.0,246334.0,8,5.0
10356378.0,33215.0,8,5.0
10357284.0,107451.0,8,5.0
10357446.0,112922.0,8,5.0
10358503.0,45744.0,8,5.0
10358606.0,127198.0,8,5.0
10358622.0,47273.0,8,5.0
10358952.0,9210.0,8,5.0
10359237.0,58072.0,8,5.0
10361048.0,11442.0,8,5.0
10361371.0,106431.0,8,5.0
10361672.0,14923.0,8,5.0
10363376.0,216703.0,8,5.0
10363982.0,19623.0,8,5.0
10364414.0,157457.0,8,5.0
10365869.0,35889.0,8,5.0
10367747.0,49640.0,8,5.0
10370313.0,36689.0,8,5.0
10372620.0,20214.0,8,5.0
10373212.0,10030.0,8,5.0
10375077.0,417909.0,8,5.0
10375315.0,31220.0,8,5.0
10375418.0,391544.0,8,5.0
10375738.0,30797.0,8,5.0
10376605.0,12079.0,8,5.0
10376606.0,18123.0,8,5.0
10378161.0,25444.0,8,5.0
10378489.0,17399.0,8,5.0
10383783.0,20511.0,8,5.0
10388905.0,61106.0,8,5.0
10394221.0,109451.0,8,5.0
10394327.0,11575.0,8,5.0
10400278.0,69423.0,8,5.0
10401648.0,179977.0,8,5.0
10401750.0,55307.0,8,5.0
10401900.0,195934.0,8,5.0
10404313.0,65880.0,8,5.0
10404524.0,9854.0,8,5.0
10404707.0,51259.0,8,5.0
10406446.0,50303.0,8,5.0
10406503.0,86774.0,8,5.0
10406771.0,23883.0,8,5.0
10407187.0,50056.0,8,5.0
10408400.0,52745.0,8,5.0
10408787.0,81539.0,8,5.0
10409811.0,36209.0,8,5.0
10412074.0,119367.0,8,5.0
10412187.0,488178.0,8,5.0
10415716.0,28272.0,8,5.0
10416039.0,20226.0,8,5.0
10416711.0,21895.0,8,5.0
10417819.0,20406.0,8,5.0
10418426.0,41011.0,8,5.0
10420700.0,41316.0,8,5.0
10421346.0,23123.0,8,5.0
10422432.0,28573.0,8,5.0
10422480.0,43164.0,8,5.0
10422499.0,71682.0,8,5.0
10424830.0,1798505.0,8,5.0
10427663.0,30136.0,8,5.0
10428792.0,72415.0,8,5.0
10429663.0,22640.0,8,5.0
10432915.0,12491.0,8,5.0
10434225.0,39968.0,8,5.0
10434464.0,11283.0,8,5.0
10436286.0,11930.0,8,5.0
10439209.0,37445.0,8,5.0
10441921.0,14616.0,8,5.0
10442291.0,36522.0,8,5.0
10442315.0,11361.0,8,5.0
10442591.0,49836.0,8,5.0
10442647.0,101948.0,8,5.0
10442733.0,22206.0,8,5.0
10443075.0,72659.0,8,5.0
10443188.0,73448.0,8,5.0
10444007.0,49802.0,8,5.0
10444209.0,11422.0,8,5.0
10445299.0,60692.0,8,5.0
10448194.0,128875.0,8,5.0
10448576.0,11213.0,8,5.0
10450448.0,44282.0,8,5.0
10455183.0,45515.0,8,5.0
10455282.0,10538.0,8,5.0
10456113.0,172007.0,8,5.0
10457140.0,243260.0,8,5.0
10457244.0,238892.0,8,5.0
10457441.0,86106.0,8,5.0
10459966.0,118662.0,8,5.0
10460579.0,12477.0,8,5.0
10460599.0,14431.0,8,5.0
10460617.0,77197.0,8,5.0
10462572.0,121327.0,8,5.0
10463371.0,85356.0,8,5.0
10465215.0,327757.0,8,5.0
10465753.0,149879.0,8,5.0
10466243.0,128623.0,8,5.0
10471854.0,200442.0,8,5.0
10476291.0,47154.0,8,5.0
10478415.0,20933.0,8,5.0
10489131.0,43706.0,8,5.0
10490259.0,98732.0,8,5.0
10490294.0,102489.0,8,5.0
10491927.0,13403.0,8,5.0
10492183.0,94655.0,8,5.0
10492646.0,12821.0,8,5.0
10493400.0,89501.0,8,5.0
10493920.0,103107.0,8,5.0
10495427.0,319562.0,8,5.0
10496260.0,107993.0,8,5.0
10497193.0,38539.0,8,5.0
10497340.0,40530.0,8,5.0
10497499.0,50164.0,8,5.0
10499431.0,78079.0,8,5.0
10499607.0,40378.0,8,5.0
10500778.0,12676.0,8,5.0
10501138.0,98503.0,8,5.0
10501149.0,537551.0,8,5.0
10502233.0,14762.0,8,5.0
10502835.0,22144.0,8,5.0
10503604.0,20815.0,8,5.0
10505731.0,25351.0,8,5.0
10505992.0,57621.0,8,5.0
10506491.0,24268.0,8,5.0
10507689.0,17281.0,8,5.0
10508113.0,71564.0,8,5.0
10508820.0,154976.0,8,5.0
10508847.0,175234.0,8,5.0
10508921.0,19409.0,8,5.0
10509064.0,95141.0,8,5.0
10510602.0,102070.0,8,5.0
10513668.0,15014.0,8,5.0
10513992.0,350876.0,8,5.0
10514490.0,68018.0,8,5.0
10514921.0,178464.0,8,5.0
10515395.0,91482.0,8,5.0
10515558.0,468481.0,8,5.0
10515927.0,21246.0,8,5.0
10516007.0,30651.0,8,5.0
10516010.0,544577.0,8,5.0
10516436.0,65908.0,8,5.0
10517028.0,31991.0,8,5.0
10517337.0,65569.0,8,5.0
10521985.0,171240.0,8,5.0
10522690.0,124008.0,8,5.0
10525029.0,18127.0,8,5.0
10525143.0,330041.0,8,5.0
10525384.0,106070.0,8,5.0
10525862.0,167248.0,8,5.0
10526664.0,167317.0,8,5.0
10529959.0,9501.0,8,5.0
10529964.0,9496.0,8,5.0
10531509.0,39724.0,8,5.0
10535467.0,10446.0,8,5.0
10537799.0,45777.0,8,5.0
10539788.0,128718.0,8,5.0
10539808.0,315374.0,8,5.0
10539808.0,153298.0,8,5.0
10541212.0,59652.0,8,5.0
10541543.0,32144.0,8,5.0
10542096.0,10410.0,8,5.0
10542367.0,9925.0,8,5.0
10543209.0,12906.0,8,5.0
10544089.0,61106.0,8,5.0
10544136.0,38078.0,8,5.0
10546584.0,29585.0,8,5.0
10548753.0,25600.0,8,5.0
10549354.0,34014.0,8,5.0
10550205.0,16958.0,8,5.0
10551208.0,58232.0,8,5.0
10553101.0,11433.0,8,5.0
10553213.0,11205.0,8,5.0
10556172.0,62104.0,8,5.0
10556896.0,129293.0,8,5.0
10564330.0,32045.0,8,5.0
10568813.0,18790.0,8,5.0
10571591.0,25086.0,8,5.0
10574932.0,62876.0,8,5.0
10576433.0,26557.0,8,5.0
10576704.0,19995.0,8,5.0
10577244.0,107034.0,8,5.0
10577523.0,193517.0,8,5.0
10577685.0,261708.0,8,5.0
10578543.0,13621.0,8,5.0
10578924.0,105474.0,8,5.0
10579882.0,13763.0,8,5.0
10580217.0,87489.0,8,5.0
10580266.0,97110.0,8,5.0
10580588.0,126667.0,8,5.0
10580945.0,10717.0,8,5.0
10581187.0,19108.0,8,5.0
10581288.0,40764.0,8,5.0
10581418.0,48430.0,8,5.0
10581544.0,118719.0,8,5.0
10581748.0,13054.0,8,5.0
10581869.0,557336.0,8,5.0
10582226.0,66099.0,8,5.0
10582245.0,18974.0,8,5.0
10582342.0,47886.0,8,5.0
10582435.0,31033.0,8,5.0
10582722.0,91616.0,8,5.0
10583106.0,119642.0,8,5.0
10583218.0,117587.0,8,5.0
10584493.0,20416.0,8,5.0
10585256.0,52636.0,8,5.0
10585461.0,81542.0,8,5.0
10586047.0,130996.0,8,5.0
10586837.0,355688.0,8,5.0
10586958.0,47939.0,8,5.0
10587492.0,95404.0,8,5.0
10587577.0,27715.0,8,5.0
10589997.0,28230.0,8,5.0
10590829.0,9335.0,8,5.0
10590965.0,283722.0,8,5.0
10590975.0,11091.0,8,5.0
10591754.0,119846.0,8,5.0
10591922.0,300380.0,8,5.0
10592131.0,13153.0,8,5.0
10592261.0,10514.0,8,5.0
10593451.0,16747.0,8,5.0
10594162.0,184822.0,8,5.0
10594506.0,92104.0,8,5.0
10594617.0,13638.0,8,5.0
10594796.0,91809.0,8,5.0
10594862.0,91759.0,8,5.0
10594932.0,10867.0,8,5.0
10594971.0,12358.0,8,5.0
10595245.0,91356.0,8,5.0
10595275.0,16167.0,8,5.0
10595686.0,11643.0,8,5.0
10596241.0,11088.0,8,5.0
10596434.0,21963.0,8,5.0
10596800.0,10380.0,8,5.0
10596845.0,167632.0,8,5.0
10599280.0,27566.0,8,5.0
10599472.0,157522.0,8,5.0
10600028.0,14120.0,8,5.0
10600160.0,170314.0,8,5.0
10601605.0,555561.0,8,5.0
10601840.0,10490.0,8,5.0
10602342.0,11806.0,8,5.0
10603384.0,92686.0,8,5.0
10604851.0,10619.0,8,5.0
10605224.0,57577.0,8,5.0
10605354.0,9998.0,8,5.0
10605457.0,161795.0,8,5.0
10605710.0,87477.0,8,5.0
10605768.0,756593.0,8,5.0
10605966.0,193596.0,8,5.0
10606026.0,479927.0,8,5.0
10606029.0,471295.0,8,5.0
10606560.0,57206.0,8,5.0
10609266.0,43478.0,8,5.0
10609433.0,1353378.0,8,5.0
10609510.0,103750.0,8,5.0
10609670.0,94857.0,8,5.0
10610072.0,13148.0,8,5.0
10610232.0,248568.0,8,5.0
10610536.0,23468.0,8,5.0
10610962.0,15172.0,8,5.0
10610963.0,13430.0,8,5.0
10611037.0,158991.0,8,5.0
10611260.0,16543.0,8,5.0
10611358.0,20384.0,8,5.0
10611364.0,15307.0,8,5.0
10611430.0,68250.0,8,5.0
10611517.0,44654.0,8,5.0
10611574.0,24403.0,8,5.0
10613044.0,39680.0,8,5.0
10613056.0,9810.0,8,5.0
10613125.0,1349813.0,8,5.0
10613454.0,53919.0,8,5.0
10613796.0,54333.0,8,5.0
10613941.0,86130.0,8,5.0
10613993.0,154059.0,8,5.0
10614139.0,12098.0,8,5.0
10614300.0,50826.0,8,5.0
10615165.0,85289.0,8,5.0
10615559.0,27635.0,8,5.0
10615685.0,172953.0,8,5.0
10615897.0,110355.0,8,5.0
10616108.0,47883.0,8,5.0
10616149.0,11290.0,8,5.0
10616463.0,10516.0,8,5.0
10617183.0,193422.0,8,5.0
10617362.0,11321.0,8,5.0
10618044.0,23660.0,8,5.0
10618150.0,18533.0,8,5.0
10618152.0,21279.0,8,5.0
10618329.0,22628.0,8,5.0
10618494.0,20077.0,8,5.0
10618931.0,475714.0,8,5.0
10619059.0,10209.0,8,5.0
10619255.0,48750.0,8,5.0
10619345.0,23051.0,8,5.0
10620551.0,85370.0,8,5.0
10620755.0,45380.0,8,5.0
10620922.0,65676.0,8,5.0
10621313.0,154457.0,8,5.0
10626546.0,41333.0,8,5.0
10626962.0,18881.0,8,5.0
10627077.0,41183.0,8,5.0
10628106.0,38682.0,8,5.0
10628488.0,35190.0,8,5.0
10628949.0,51223.0,8,5.0
10629271.0,59923.0,8,5.0
10629749.0,36668.0,8,5.0
10630888.0,41415.0,8,5.0
10633490.0,32227.0,8,5.0
10633496.0,32220.0,8,5.0
10634096.0,31943.0,8,5.0
10634096.0,31942.0,8,5.0
10642039.0,24749.0,8,5.0
10642448.0,26048.0,8,5.0
10643384.0,32024.0,8,5.0
10643410.0,32459.0,8,5.0
10659411.0,11780.0,8,5.0
10662187.0,15803.0,8,5.0
10663908.0,43196.0,8,5.0
10664249.0,28022.0,8,5.0
10664474.0,219390.0,8,5.0
10665774.0,10339.0,8,5.0
10666019.0,32927.0,8,5.0
10666092.0,14012.0,8,5.0
10666632.0,29254.0,8,5.0
10667296.0,93948.0,8,5.0
10667578.0,9925.0,8,5.0
10667583.0,13687.0,8,5.0
10667635.0,22217.0,8,5.0
10667725.0,109600.0,8,5.0
10667856.0,85746.0,8,5.0
10667950.0,10176.0,8,5.0
10668192.0,12275.0,8,5.0
10668550.0,85686.0,8,5.0
10668585.0,39595.0,8,5.0
10668588.0,514152.0,8,5.0
10668857.0,21820.0,8,5.0
10668919.0,10627.0,8,5.0
10668951.0,98094.0,8,5.0
10669401.0,10822.0,8,5.0
10669472.0,9189.0,8,5.0
10669537.0,9202.0,8,5.0
10670081.0,10634.0,8,5.0
10670795.0,11711.0,8,5.0
10670800.0,9123.0,8,5.0
10671656.0,13287.0,8,5.0
10673099.0,19119.0,8,5.0
10673362.0,11844.0,8,5.0
10673390.0,16148.0,8,5.0
10673879.0,12854.0,8,5.0
10673960.0,15699.0,8,5.0
10674481.0,42037.0,8,5.0
10674572.0,85942.0,8,5.0
10676641.0,103182.0,8,5.0
10677154.0,13542.0,8,5.0
10677675.0,15734.0,8,5.0
10677951.0,124871.0,8,5.0
10677962.0,21705.0,8,5.0
10678028.0,11102.0,8,5.0
10678733.0,15551.0,8,5.0
10679482.0,11386.0,8,5.0
10679731.0,13568.0,8,5.0
10679755.0,18419.0,8,5.0
10680406.0,20061.0,8,5.0
10680785.0,24490.0,8,5.0
10681520.0,14635.0,8,5.0
10681656.0,16314.0,8,5.0
10682137.0,14723.0,8,5.0
10682951.0,23586.0,8,5.0
10683974.0,199886.0,8,5.0
10684419.0,199448.0,8,5.0
10684711.0,10212.0,8,5.0
10684852.0,13312.0,8,5.0
10684872.0,13279.0,8,5.0
10684988.0,23170.0,8,5.0
10685073.0,18072.0,8,5.0
10685154.0,1277565.0,8,5.0
10685204.0,71298.0,8,5.0
10685205.0,20339.0,8,5.0
10685368.0,15224.0,8,5.0
10685907.0,15299.0,8,5.0
10686610.0,22147.0,8,5.0
10687080.0,18704.0,8,5.0
10687150.0,39426.0,8,5.0
10687277.0,67230.0,8,5.0
10687295.0,14074.0,8,5.0
10687425.0,12774.0,8,5.0
10689011.0,9557.0,8,5.0
10689312.0,9772.0,8,5.0
10689458.0,87935.0,8,5.0
10689546.0,13638.0,8,5.0
10690717.0,18927.0,8,5.0
10691550.0,10273.0,8,5.0
10691949.0,65535.0,8,5.0
10692646.0,90002.0,8,5.0
10693241.0,9359.0,8,5.0
10693284.0,416094.0,8,5.0
10694700.0,101941.0,8,5.0
10694919.0,55652.0,8,5.0
10694951.0,593791.0,8,5.0
10694958.0,106053.0,8,5.0
10695117.0,12261.0,8,5.0
10695239.0,14520.0,8,5.0
10696489.0,53704.0,8,5.0
10696973.0,11894.0,8,5.0
10697026.0,72989.0,8,5.0
10697197.0,173120.0,8,5.0
10697279.0,10526.0,8,5.0
10698252.0,103641.0,8,5.0
10698672.0,55076.0,8,5.0
10698750.0,10389.0,8,5.0
10699345.0,145517.0,8,5.0
10699713.0,9124.0,8,5.0
10700133.0,13875.0,8,5.0
10700407.0,30765.0,8,5.0
10700488.0,403084.0,8,5.0
10700499.0,49711.0,8,5.0
10700511.0,129831.0,8,5.0
10700666.0,49529.0,8,5.0
10700940.0,103537.0,8,5.0
10701321.0,157535.0,8,5.0
10702200.0,86441.0,8,5.0
10702670.0,19504.0,8,5.0
10702672.0,480065.0,8,5.0
10702794.0,83794.0,8,5.0
10702956.0,35618.0,8,5.0
10703416.0,679112.0,8,5.0
10703956.0,89371.0,8,5.0
10704546.0,10040.0,8,5.0
10704640.0,46634.0,8,5.0
10705285.0,156984.0,8,5.0
10707509.0,273030.0,8,5.0
10707722.0,15078.0,8,5.0
10707737.0,44294.0,8,5.0
10707876.0,28714.0,8,5.0
10708348.0,10303.0,8,5.0
10708462.0,73067.0,8,5.0
10708463.0,88779.0,8,5.0
10708674.0,40133.0,8,5.0
10708803.0,25279.0,8,5.0
10708970.0,36892.0,8,5.0
10709292.0,33446.0,8,5.0
10709614.0,39678.0,8,5.0
10710673.0,12720.0,8,5.0
10710723.0,56417.0,8,5.0
10711142.0,38536.0,8,5.0
10711920.0,71405.0,8,5.0
10712590.0,28127.0,8,5.0
10713818.0,41827.0,8,5.0
10714158.0,19492.0,8,5.0
10714682.0,32578.0,8,5.0
10714880.0,140132.0,8,5.0
10715164.0,23622.0,8,5.0
10715539.0,55751.0,8,5.0
10715854.0,85061.0,8,5.0
10715951.0,12188.0,8,5.0
10716818.0,53449.0,8,5.0
10716900.0,31808.0,8,5.0
10719531.0,10089.0,8,5.0
10719853.0,14657.0,8,5.0
10720135.0,34630.0,8,5.0
10726612.0,53555.0,8,5.0
10726625.0,22211.0,8,5.0
10727289.0,23288.0,8,5.0
10728099.0,63581.0,8,5.0
10729028.0,195426.0,8,5.0
10734602.0,16323.0,8,5.0
10736273.0,67817.0,8,5.0
10736463.0,12682.0,8,5.0
